index,question,answer,subject
1912,מה בנוגע למכשיר אדים?,"אין די הוכחות בנוגע ליעילותם של מכשירי אדים לטיפול בשיעול או בהתקררות, ולכן אין המלצה רפואית להשתמש בהם. נוסף על כך יש להביא בחשבון את הבעיות שיש בהפעלת מכשירי אדים חמים (סכנת כוויות) וגם במכשירי אדים קרים (הם עלולים להעביר זיהומים דרך",מילון (מקוצר) לחורף
1913,איך מטפלים בילדים משתעלים?,"את רוב התרופות לטיפול בשיעול אסור לתת לילדים בני פחות משנתיים שכן הם רגישים יותר לתופעות הלוואי שלהן. יתר על כן, אין הוכחה ליעילות התרופות האלה בתינוקות ובילדים קטנים. אם מדובר בילד משתעל שטרם מלאו לו 6 שנים, יש לפנות לרופא המטפל. הוא יבדוק אותו וימליץ על טיפול מתאים.אם הילד הוא בן 6 שנים ויותר, קיימים כמה תכשירים לטיפול בשיעול שניתן לרכוש בשבילו ללא מרשם רופא. מומלץ ",מילון (מקוצר) לחורף
1914,איך מטפלים בשיעול בהיריון ובתקופת ההנקה?,"כשמדובר בנשים בהיריון או בנשים מיניקות שסובלות משיעול ההמלצה המקובלת היא בדרך כלל שירבו בשתיית נוזלים, ובהם תה פושר, וייעזרו בסוכריות למציצה. אם השיעול בלתי נסבל, ייתכן שהרופא ימליץ על תרופה לטיפול בשיעול. אזהרה: לנשים מיניקות אסור",מילון (מקוצר) לחורף
1915,למה צריכים לשים לב חולי סוכרת?,"קיימים תכשירים לטיפול בשיעול שאינם מכילים סוכר. על חולי סוכרת להתייעץ עם רופא או עם רוקח בנוגע לטיפול המתאים להם.הבעיה החמורה של המעשניםשיעול אצל מעשנים עלול להיות סימן למחלת ריאות התחלתית או מתקדמת. הצעד הראשון שעל מעשנים משתעלים לעשות הוא להיגמל מעישון. זה חשוב לא רק בגלל השיעול, אלא גם בגלל הנזקים הרבים הנוספים שנגרמים מעישון.כללית מקיימת סדנאות לגמילה מעישון. כמו כן קיימות תרופות שמסייעות להיגמל מעישון. מומלץ להתייעץ עם הרופא המטפל בנוג",מילון (מקוצר) לחורף
1916,מתי יש לפנות לרופא כשסובלים משיעול?,"• כשמדובר בילדים משתעלים שטרם מלאו להם 6 שנים.• אם השיעול נמשך יותר מ־3 שבועות.• אם נלקחה תרופה כלשהי לטיפול בשיעול והיא לא סייעה.• אם סובלים ממחלות בדרכי הנשימה כמו אסתמה ו־COPD.• אם נוסף על השיעול סובלים גם מקוצר נשימה, מצפצופים בנשימה או מלחץ בחזה.• אם סובלים מחום גבוה או אם הופיע דם בליחה.• אם נוטלים תרופות שמדכאות את מערכת החיסון כמו סטרואידים.• אם נוטלים תרופות לטיפול בלחץ דם גבוה מהמשפחה של מעכבי ACE (כמו רמיפריל ואנלפריל) וסובלים משיעול יבש ומטריד ש",מילון (מקוצר) לחורף
1918,בדיקת אנטיגן ביתית לקורונה ניתן לעשות ללא פיקוח חיצוני ועם פיקוח חיצוני באמצעות וידאו. מהם ההבדלים? מהן ההוראות לבדיקה שנעשית באופן עצמאי? מה לעשות אם התקבלה תוצאה חיובית?,אילנית אקב,מילון (מקוצר) לחורף
1919,מהי בדיקת אנטיגן ביתית מהירה לקורונה?,"בדיקת אנטיגן ביתית דומה לבדיקת אנטיגן מוסדית, אך נעשית באופן עצמאי.ישנן שתי אופציות לעריכת הבדיקה הביתית:• ללא פיקוח חיצוני - הבדיקה אינה מתועדת במערכת של משרד הבריאות, ולכן לא ניתן, למשל, לקבל על בסיסה תעודת החלמה.• עם פיקוח חיצוני מרחוק באמצעות וידאו - הבדיקה מתועדת במערכת של משרד הבריאות ומקנה, בין היתר, תעודת החלמה.מי שיבחר להיבדק בבית באופן מפוקח צריך ליצור קשר עם החברה המפעילה - שקיבלה הכרה ממשרד הבריאות - ולפעול על פי ההנחיות שיקבל.• למידע בנוגע לבדיקה ביתית מפוק",מילון (מקוצר) לחורף
1920,מה חשוב לעשות לפני הבדיקה הביתית?,אם הבדיקה מפוקחת - יש לפעול לפי ההנחיות.להלן הנחיות למי שעושים בדיקה שאינה מפוקחת:• חשוב לוודא שהערכה בתוקף.• יש לפתוח את שקיק האלומיניום ולהוציא את משטח הבדיקה בלי לגעת בחלונית התוצאות בשקע (פתחית) הקטן שאליו,מילון (מקוצר) לחורף
1921,איך לעשות בדיקת קורונה ביתית באופן עצמאי?,"1. מוציאים את המטוש מהאריזה, מכניסים אותו לדפנות של הפה ומסובבים כ־5 פעמים בכל צד.2. מחדירים את אותו המטוש לנחיר, לעומק של כ־1.5 סנטימטרים, ומסובבים את המטוש 10 פעמים בחלק האמצעי ובדפנות של האף.3. חוזרים על הפעולה עם אותו המטוש בנחיר השני.4. מסירים את מכסה האלומיניום מהמבחנה, מכניסים אליה את המטוש ומסובבים אותו 5 פעמים לכל כיוון.5. סוחטים את המטוש בעדינות לתוך הנוזל באמצעות לחיצה על צידי המבחנה.6. סוגרים את המבחנה באמצעות מכסה הטפטפת המיועד לכך. חשוב מאוד לסגור היטב.7. מטפטפים 5 טיפות מהמבחנה אל תוך השקע במשטח הבדיקה (ההוא שהוצאנו כבר מהאריזה) וממתינים לתוצאות.פענוח התוצאותלאחר 15 דקות המתנה נוכל לראות את התוצאה בחלונית הבדיקה. חשוב להקפיד על טווח הזמן המדויק משום שלאחר זמן זה התוצאה לא בהכרח תהיה מדויקת.אם התוצאה חיובית יופיעו על חלונית הבדיקה שני פסים: פס ורוד או אדום תחת האות C ופס אדום נוסף תחת האות T.אם התוצאה שלילית יופיע פס ורוד או אדום אחד בלבד תחת האות C.אם לא מופיע כלל פס ורוד או אדום תחת האות C, יש לעשות את הבדיקה בא",מילון (מקוצר) לחורף
1922,קיבלתי תוצאה חיובית בבדיקה ביתית ללא פיקוח. מה עליי לעשות?,אם בדיקת האנטיגן הביתי היא חיובית - יש לעשות בדיקת אנטיגן מוסדית או בדיקת PCR. תוצאה חיובית באחת מהבדיקות הרשמיות של משרד הבריאות מאפשרת הגדרה של אדם כמאומת ולאחר מכן כמחלים.אילנית אקב היא מנהלת הסיעוד במרכז לבריאות הילד של כללית בחולון* המידע המופיע במדריך הוא לידיעה כללית בלבד. יש לעיין בתנאי הש,מילון (מקוצר) לחורף
1924,אני בהיריון ונדבקתי בנגיף הקורונה. מה צפוי לי?,"נכון להיום נראה שהיריון אינו מגביר את הסכנה להידבק במחלת הקורונה, אך מהלך המחלה בנשים הרות שנדבקו עלול להיות קשה יותר מאשר בנשים שאינן הרות.המרכז האמריקאי לבקרת מחלות (CDC) דיווח בנובמבר 2020 על תוצאות מעקב שנערך אחר יותר מ־8,000 נשים שחלו בקורונה בעת שהיו בהיריון. הנשים האלה חלו בעיקר במהלך השליש השני והשלישי להיריון, ולכן אין די נתונים בנוגע למהלך ההיריון בנשים שנדבקו בשלב מוקדם יותר של ההיריון.ממעקב ה־CDC עולה כי לנשים הרות שחלו בקורונה יש סיכון גבוה יותר (פי 1.6) להתאשפז בטיפול נמרץ ולהיות מונשמות בהשוואה לנשים חולות שאינן בהיריון. עם זאת יש לציין כי מכיוון שנשים הרות הן צעירות, הרי שיעור החולות במחלה קשה בקרב האוכלוסייה הזאת היה בסך הכול נמוך: כ־1%.אלה הם גורמי הסיכון למחלה קשה בנשים הרות: גיל (יותר מ־35 שנים), השמנה, מחלות רקע, אי־התחסנות.ממחקר אחר שנערך בארצות־הברית, ושבו עקבו אחרי 400 אלף נשים הרות מאושפזות, עלה שנשים חולות קורונה סבלו יותר מסיבוכים של קרישיות־יתר בהשוואה לנשים הרות שאושפזו ללא קורונה. גם התמותה בקרב חולות הקורונה ההרות הייתה גבוהה יותר בהשוואה לנשים ההרות שלא היו חולות קורונה, אם כי שיעור התמותה היה בסך הכול נמוך.מהמעקב האמריקאי גם עולה שהסיכון ללידה מוקדמת (לפני השבוע ה־37) היה גדול יותר בקרב חולות קורונה בהיריון (כ־13%), לעומת הממוצע בנשים שאינן חולות בקורונה (כ־10%).מסיכום של כמה מחקרים עולה שלנשים הרות חולות קורונה היה סיכון מוגבר ללדת בניתוח קיסרי, אך לא ברור אם יש לייחס את המספר הרב יותר של ניתוחים קיסריים למצב קשה יותר של היולדות או לרצונם של הצוותים הרפואיים לנקוט אמצעי","קורונה, היריון והנקה"
1925,מהי השפעת הקורונה על עוברים ועל תינוקות?,"נכון לאוגוסט 2022 אין דיווחים על עלייה בסיכון למומים אצל תינוקות שאימהותיהם חלו בקורונה במהלך ההיריון. ישנם דיווחים על הימצאות של קרישי דם ושל נזק לכלי הדם בשליה, אך לא ברור מהי משמע","קורונה, היריון והנקה"
1926,האם תיתכן הדבקה של יילודים לאחר הלידה?,"ישנם דיווחים, אם כי לא רבים, על תינוקות שאצלם נמצא נגיף הקורונה שעות ספורות לאחר הלידה. יש לציין שמחלת הקורונה של יילודים היא לרוב קלה. ההמלצה היא לאפשר ליולדת החולה בקורונה להניק את התינוק - ובתנאי שהיא מקפידה על היגיינה. במילים אחרות: אין צורך לבודד את האם מתינוקה.אשר לסכנת ההדבקה של יילודים - יש דיווחים, אם כי לא רבים, על תינוקות שאצלם נמצא נגיף הקורונה שעות ספורות לאחר הלידה. יש לציין שמחלת הקורונה של יילודים היא לרוב קלה. ההמלצה היא לאפשר ליולדות החולות בקורונה להניק את התינוק - בתנאי שהן מקפידות על היגיינה - ואין צורך לבודד","קורונה, היריון והנקה"
1927,ומה בישראל?,"נכון לפברואר 2021 אובחנו בישראל יותר מ־9,800 נשים הרות שנדבקו בקורונה. מצבן של כ־100 מהן הוגדר ""קשה"", ו־3 מהן נפטרו.כ־1,000 נשים הגיעו ללידה בהיותן חולות קורונה; יילודים מעטים מאוד נולדו במצב קשה (בעיקר עקב פגוּת), והיו שני מקרים שבהם עוברים שנפטרו היו חיוביים, ואימהות","קורונה, היריון והנקה"
1928,האם לנשים בהיריון מותר לקבל את החיסון נגד קורונה?,"המרכז האמריקאי לבקרת מחלות (CDC), ארגון הבריאות העולמי וארגוני בריאות אחרים בעולם ממליצים לחסן נשים הרות, נשים מניקות ונשים שמתכננות היריון או נמצאות בטיפולי פוריות. החיסון מגן על האם מפני מחלה קשה - שעלולה להיות חמורה בשל ההיריון - וכן הוא מגן על היילוד מפני אשפוזים עד גיל חצי שנה.גם משרד הבריאות בישראל קובע כי ""לאור סיכוני מחלת הקורונה לנשים הרות מומלץ לחסן אישה הרה בתרכיב בכל שלבי ההיריון. ניתוח נתונים משלושה מאגרי מידע על בטיחות חיסונים בארצות־הברית לא זיהה שיש מידע המעלה חשש הנוגע לבטיחות התרכיבים בנשים הרות או באלה המתכננות היריון. מכיוון שהחיסונים אינם מתרבים, הם אינם גורמים לזיהום באם, ב","קורונה, היריון והנקה"
1929,האם מומלץ לחסן נשים הרות גם בחיסון החדש נגד אומיקרון?,"נכון להיום אין מידע על מתן חיסון נגד זן האומיקרון לנשים הרות ומיניקות. עם זאת, על סמך הניסיון מהשימוש בתרכיבי mRNA מונוולנטי (החיסון המקורי), אין סיבה לחשוש מפגיעה באם או ביילוד.אלה הן ההמלצות המעודכנות הנוספות של משרד הבריאות מספטמבר 2022:• מותר לחסן נגד קורונה בו־זמנית עם תרכיבים המומלצים לנשים הרות (כמו תרכיב נגד שעלת או נגד שפעת) או בכל פרק זמן לפני התרכיבים האלה או אחריהם.• אין עדויות לכך שמתן התרכיב לאישה לפני הכניסה להיריון יכול להשפיע על העובר או על הפוריות, ולכן אחרי קבלת התרכיב אין צורך להמתין פרק זמן מסוים עד הכניסה להיריון.• לנשים שמתכננות היריון או שנמצאות בטיפולי פוריות מומלץ להתחסן על פי ההנחיות בלוח הזמנים המקובל.• אין להמליץ על הפסקת היריון לאישה שחוסנה במהלך ההיריון או לפניו. אישה שגילתה שהיא הרה לאחר שקיבלה את מנת החיסון הראשונה - מומלץ לה להשלים את מנת החיסון השנייה לפי לוח הזמנים המקובל.• אין כל מניעה לחסן נשים מניקות.מי יכולים להתחסן? איך קובעים תור? איפה מתחס","קורונה, היריון והנקה"
1930,האם אישה מאומתת לקורונה יכולה להניק את תינוקה?,"על פי הידוע כיום, המחלה אינה מועברת בחלב האם. משרד הבריאות וארגוני בריאות בעולם ממליצים לאפשר לחולת קורונה להניק ולאפשר ליילוד לשהות ליד האם - אלא אם היא אינה מעוניינת בכך. אמא חולת קורונה שמניקה את בנה או את בתה צריכה להקפיד על רחיצת ידיים לפני ההנקה ולעטות מסכה.יולדת חולת קורונה שמאושפזת בבית חולים ומעוניינת לשאוב חלב תעשה זאת בחדרה באמצעות משאבה אישית ולא בחדר ההנקה המשותף. יש להקפיד על רחיצת ידיים לפני השאיבה והנגיעה בבקבוק ובמשאבה. במידת האפשר רצוי לתת לאדם אחר ל","קורונה, היריון והנקה"
1931,ומה בנוגע למעקב היריון?,"ארגוני בריאות ממליצים להתייחס למחלת הקורונה במהלך ההיריון במשנה זהירות - הן על סמך נתונים שכבר ידועים לנו בנוגע לקורונה והן על סמך ידע שנצבר מזיהומים נגיפיים אחרים כמו שפעת, שבהם נשים הרות סובלות מתחלואה שהיא קשה יותר באופן משמעותי מאשר מחלתן של נשים שאינן הרות.לכן מומלץ לנשים הרות להקפיד באופן מיוחד על ההנחיות הקיימות: לשמור על ריחוק חברתי, להקפיד על היגיינה אישית וכמובן לקבל חיסון, כפי שפורט לעיל.יש לציין כי נכון להיום עטיית מסכה כבר אינה חובה (חוץ מאשר במתקנים רפואיים), אך מדובר באמצעי חשוב שמעניק הגנה מפני הידבקות.על אישה הרה לעשות את כל הבדיקות החיוניות ואת כל המעקבים, אך עליה להקפיד שלא להגיע למרפאות לבדיקות השגרה כשהיא חולה. במקרה שמחמיצים בדיקת שגרה בגלל הידבקות בקורונה או בגלל חשד להידבקות בקורונה מומלץ להתקשר למרפאה ולתאם מועד לביקור חלופי.לעומת זאת, אם מדובר במצב חירום, אסור לאישה ההרה לדחות הגעה לחדר מיון גם אם היא חולת קורונה. בתי החולים - ובהם חדרי הלידה - ערוכים לטפל בנשים הרות שחלו בקורונה בלי לסכן נשים הרות שאינן חולות. עם זאת, אם הדבר מתאפשר, רצוי תמיד להודיע מראש לבית החולים על הגעת מטופל/ת ","קורונה, היריון והנקה"
1932,"יש לעטות מסכה גם בעת שיחה. אפשר להבין אתכם גם כשאתם מדברים עם מסכה. למרבה הצער, רבים עוטים מסכה ברחוב (פוחדים מפקחים?) אך מסירים אותה כשנכנסים לעבודה או לבית עסק. זכרו, בחשיפה לא מוגנת לחבר לעבודה אתם נחשפים בעקיפין גם לבני הבית שלו. האם הם מקפידים?",אי־אפשר לשתות קפה עם מסכה? נכון. אז אל תשתו יחד בתקופה הנוכחית. אולי יש מישהו שלא יחלה בז,5 פעולות פשוטות להגנה מפני קורונה
1933,כשנפגשים - למה לא מספיק שרק אחד יעטה מסכה?,"3. לשמור על ריחוקבזמן דיבור, שיעול, התעטשות, שירה או צעקה ואפילו סתם תוך כדי נשימה עפות לאוויר טיפות קטנות שאולי נושאות את הנגיף. אם אתם קרובים מדי, אתם עלולים לנשום את הטיפות האלה ולהידבק. הסיכון להדביק או להידבק במרחק של 2 מטרים ויותר מאדם חולה הוא מזערי. הסיכון הזה קטן עוד יותר באוויר הפתוח.קשה לכם לזכור כמה הם שני מטרים? דמיינו האם אדם מבוגר גבוה יכול לשכב לאורך המרחק בינכם לבין האדם האחר. אין לו ",5 פעולות פשוטות להגנה מפני קורונה
1934,"אל תתגודדו בחבורות, אל תקיימו מפגשים לא חיוניים. תחשבו: האם הכיף שבלהיפגש עם חברים שווה את מחיר הסבל שעלול להיות מנת חלקו של מישהו מכם שיידבק? את הסבל הכרוך בבידוד?",הוראות ההתגוננות האלה אינן לתמיד. אנחנו עוד נחזור להיפגש ולהתחבק. תנו להגיע ליום הזה כשאנחנו בריאים.4. לשמור על היגיינהרחיצת ידיים תכופה במים ובסבון או חיטוי ידיים באלכוג'ל מפחיתים את הסיכון להדבקה במגע. צריכים להתעטש? רק לכיוון המרפק ולא לכף היד.5. לא לצאת מהבית כשחוליםגם חולים במחלה קלה עלולים להדביק. אף אחד לא יעריך אתכם אם תגיעו חולים לעבודה. להפך. לא יסלחו לכם על זה. וזה,5 פעולות פשוטות להגנה מפני קורונה
1935,מה גורם לקשקשת?,"גם הרופאים אינם ממש יודעים מה גורם לקשקשת, אבל שתי עובדות הקשורות למחלה ידועות במידה רבה של וודאות:• אצל הלוקים במחלה קיימת הפרעה מקומית ביצירה של תאי העור.באופן נורמלי העור מתחדש כל הזמן, תאי עור חדשים נבנים מהשכבות התחתונות של העור (האפידרמיס), ובמקביל קיימת נשירה מתמדת של תאים מהשכבה החיצונית של העור.בגוף קיים איזון בין קצב הבנייה לבין הנשירה, כך שעל פני העור אין הצטברות של תאים מתים, ושטח הפנים של העור נראה חלק. תופעת הקשקשים מעידה על הפרה של האיזון העדין הזה ומתבטאת בהצטברות של שכבות תאים מתים על פני העור. אלה למעשה הקשקשים.• אצל הלוקים במחלה מוצאים גם כמות גדולה של חיידקים ושל פטריות, בעיקר אלה הקרויות פיטרוספורום (Pityrosporum). לא מדובר בפטריות מזיקות אלא בפטריות המצויות על פני העור של כל בני האדם, אבל אצל הלוקים בקשקשת הן מצויות בכמות גדולה הרבה יותר, ובאופן כלשהו, שעדיין אינו ברו",קשקשים בשיער
1936,מה לא ידוע לנו בנוגע לגורמי הקשקשת?,"כאמור, אנחנו יודעים שהימצאות החיידקים והפטריות קשורה לקשקשת, אבל עד היום איננו יודעים אם אלה הם הגורמים הסיבתיים הראשוניים או המשניים.ישנה גם האפשרות שאחד משני הגורמים האלה הוא הסיבה העיקרית, והגורם האחר הוא משני, אבל זוהי השערה בלבד שעדיין לא הוכחה (או הופרכה).במילים אחרות: ישנה האפשרות שחיידקים יוצרים הפרעה בבניית העור - מה שגורם לקשקשת - ואז הפטריות מנצלות את ההזדמנות ומתיישבות עליו, אבל ישנה גם האפשרות שהפטריות והחומרים שהן מפרישות הם שגורמים להפרעה בבניית העור התקין ולהיווצרות הקשקשים - מה שמביא ל""התייש",קשקשים בשיער
1937,אז בעצם הרופאים אינם יודעים להסביר את התופעה?,"נכון, אבל כדי להילחם בתופעה או במחלה לא חייבים תמיד לדעת במדויק מה גרם להן. כדי להפסיק את הקשקשת אפשר לקטוע את התהליכים שאנחנו מזהים באיזשהו מקום באמצע. וזה בדיוק ",קשקשים בשיער
1938,אז יש טיפול לקשקשים בשיער?,"יש שפע של תכשירים יעילים נגד פטריות, ומשתמשים בהם כדי לטפל בקשקשת במידה רבה של הצלחה.בין התכשירים הקיימים: שמפו ניזורל, שמפו אגיספור, סבוסל, סבו־עור, Head & Shoulders, פוליטר, אלפוסיל (השניים האחרונים מכילים זפת ולכן יש להם ריח חריף מעט, אך יעילותם גבוהה).כמעט כל סוגי השמפו נגד קשקשים מכילים מרכיבים אנטי־פטרייתיים. קיימים גם סוגי שמפו שמכילים חומרים טבעיים בעלי אפקט אנטי־פטרייתי, ויעילותם רבה. מדובר, למשל, בתכשירים שמכילים שמן עץ התה ולימון.עם זאת יש לציין שהתכשירים הניתנים במרשם רופא (כמו שמפו ניזורל ושמפו אגיספור) יעילים יותר מהתכשירים שאי",קשקשים בשיער
1939,מה בנוגע לתכשירים המכילים סטרואידים? הם מסוכנים?,"כיוון שאין טיפול שמרפא את המחלה, הטיפול המיטבי הוא זה שמקל ומעניק הפוגה ואשר ניתן להשתמש בו ללא הגבלת זמן וללא חשש מתופעות לוואי ומסיכונים.קיימים בשוק תכשירים נוזליים המכילים סטרואידים (נגזרות של קורטיזון). הם נעימים לשימוש, משוּוקים בטיפות שמזליפים על הקרקפת, והם גם יעילים מאוד, אבל כמו יתר התכשירים, גם הם אינם מרפאים את המחלה, ובשימוש ממושך הם עלולים לגרום נזק לעור. לכן מומלץ שלא להשתמש בהם באופן קבוע.עם זאת, סטרואידים לשימוש מקומי שנעזרים בהם לזמן קצר ולסירוגין מטפלים ביעילות רב",קשקשים בשיער
1940,מה עושים כשיעילות התכשיר פוחתת?,"כידוע לכל מי שסובל מקשקשת ממושכת, רוב התכשירים יעילים בהתחלה ועם הזמן מאבדים מיעילותם. הפתרון המומלץ אינו להגביר את כמות השימוש באותו התכשיר, אלא פשוט לעבור לתכשיר מקבוצת חומרים אחרת. אחרי זמן מה, כשהתכשיר הנוסף מאבד מיעילותו, ניתן שוב לחזור לתכשיר הראשון. הוא יהיה שוב יעיל כאילו מ",קשקשים בשיער
1941,האם יש צורך לטפל בקשקשת על הקרקפת באמצעות אנטיביוטיקה?,"אם יש זיהום של עור הקרקפת או במקרים חמורים של סבוריאה, נדרש טיפול אנטיביוטי בכדורים. ייתכן שאף יהיה צורך בטיפולים",קשקשים בשיער
1942,האם הקשקשים גורמים לי לנשירת שיער?,"לא. אם את או אתה מאבדים שיער, ייתכן שאתם סובלים מהתקרחות. אין לכך",קשקשים בשיער
1943,האם הופעת הקשקשים קשורה למה שאוכלים?,אין לכך שו,קשקשים בשיער
1944,האם תספורת קצרה או ארוכה משפיעה על הימצאות הקשקשים?,אין לכך שו,קשקשים בשיער
1945,האם עישון ושתיית אלכוהול מחריפים את הבעיה או מעוררים אותה?,לא.,קשקשים בשיער
1946,האם קשקשים קשורים תמיד לפעילות יתר של בלוטות החלב ולשיער ולעור שמנים?,לא ת,קשקשים בשיער
1947,ונניח שאני רוצה ללכת בגלל זה לרופא/ה. רופא/ת המשפחה שלי יכול לעזור?,"רופא/ת משפחה יודע לטפל בבעיה, אבל אם רוצים, אפשר לפנות היישר לרופא/ת עור.• רוצה להתייעץ עם רופא/ת עור מהבית? גם זה אפשריפרופ' רוני וולף הוא מומחה במחלות עור ומין בכלליתארנון כהן הוא מומחה במחלות עור ומין בכללית ורכז רפואת העור במחוז דרום של כללית* המידע המופיע במדריך הוא לידיעה כללית בלבד. יש לעיין בתנאי הש",קשקשים בשיער
1948,"כאבים בבטן העליונה צריכים תמיד לעורר את החשד שמדובר בדלקת הלבלב. אם הדלקת חמורה, היא עלולה להיות מסכנת חיים. מהם הגורמים לדלקת הזאת ואיך מטפלים בה?",פרופ' ערן שדות,"דלקת לבלב חריפה (פנקריאטיטיס): התסמינים, הסכנות והטיפול"
1949,מה הסדנאות או הייעוץ יכולים לתת לי?,"הן בסדנאות הקבוצתיות והן בייעוץ הטלפוני האישי מקבלים המשתתפים כלים להתמודדות ולהתגברות על ההתמכרות הגופנית ועל התלות ההתנהגותית־פסיכולוגית שבעישון. הם לומדים על ההיבטים הבאים:• הרגלי העישון וכיצד לשנות אותם.• נקודות התורפה, המצבים המעוררים רצון לעשן ואיך להתמודד עם הפיתוי לעשן.• דרכים להתמיד בגמילה לטווח הארוך.כמו כן מקבלים מידע על אודות התכשירים התרופתיים השונים שעוזרים להתגבר על ההתמכרות הגופנית. המשתתפים בסדנה או בייעוץ הטלפוני זכאים להנחה ברכישת 
   תרופות לגמילה מעישון במסגרת סל השירותים ובהתאם להמלצה של הרופא/ה המטפל/ת.הסדנאות והייעוץ האישי מתקיימים במגוון שפות. מעבירים אותם רופאים, אחיות, מקדמי בריאות, רוקחים ואנשי מקצוע נוספים מתחום הבריאות שעברו הכשרה מיוחדת בגמילה מעישון.סדנאות קבוצתיות לגמילה מעישוןסדנאות הגמילה מעישון של כללית משלבות בין תמיכה קבוצת",גמילה מעישון בכללית: כל השירותים
1950,למי מיועדת הסדנה?,"הסדנה לגמילה מעישון מיועדת לבני 18 ומעלה המעשנים סיגריות ומוצרי עישון אחרים מבוססי ניקוטין (טבק לגלגול, סיגרים, נרגילות, מקטרות, סיגריות אלק",גמילה מעישון בכללית: כל השירותים
1951,איפה הסדנה מתקיימת?,"לנוחיותך, אפשר לבחור באחת משתי האפשרויות המוצעות:• 
   סדנה פנים אל פנים. הסדנאות מתקיימות במתכונת של מפגשים קבוצתיים במרפאות ובמתקנים של כללית בפריסה ארצית רחבה, בדרך כלל בשעות אחר הצהריים או הערב.• 
   סדנה דיגיטלית. הסדנאות הדיגיטליות מועברות דרך המחשב, באמצעות תוכנה בשם טימס (MicrosoftTeams). המשתתפים בסדנה יכולים להתחבר מכל מקום בארץ. מומלץ להתחבר מהבית או ממקום שקט אחר שבו אפשר לשבת ברוגע וללא הפרעות. כדי להשתתף בסדנה יש להצטייד במחשב נייד או במחשב נייח שמצוידים במיקרופון, במצלמה וברמקולים, או לחילופין בטלפון חכם. נדרש חיבור לאינטרנט. במהלך הסדנה הדיגיטלית עומדת לרשות המשתתפים תמיכה טכנית לסיוע",גמילה מעישון בכללית: כל השירותים
1952,כמה זמן נמשכת הסדנה?,"הסדנה מתקיימת אחת לשבוע, ביום קבוע, בסדרה של 8 מפגשים. כל מפגש",גמילה מעישון בכללית: כל השירותים
1953,כמה זה עולה?,הייעוץ ניתן ללא תשלו,גמילה מעישון בכללית: כל השירותים
1954,איך נרשמים?,"לפרטים ולהרשמה יש לפנות לרופא/ת המשפחה המטפל/ת ולקבל הפניה לקו הייעוץ הטלפוני.לשאלות נוספות בנוגע לגמילה מעישון, למידע על שירותי הגמילה ולמידע על התרופות לגמילה מעישון, ניתן לפנות לרופא/ת המשפח",גמילה מעישון בכללית: כל השירותים
1955,למי מיועד הייעוץ הטלפוני?,"ייעוץ טלפוני לגמילה מעישון מיועד לבני 18 ומעלה המעשנים סיגריות ומוצרי עישון מבוססי ניקוטין (טבק לגלגול, סיגרים, נרגילות, מקטרות, סיגריות אלקטרוניות וכדומה), שאינם מעוניינים או שאינם יכולים להשתתף",גמילה מעישון בכללית: כל השירותים
1956,איפה הייעוץ מתקיים?,אפשר לקיים את הייעוץ הטלפוני מכל מקום בארץ. רצוי שהשיחה תיעשה מהבית או ממקום שקט אחר שבו אפשר לשבת בר,גמילה מעישון בכללית: כל השירותים
1957,כמה זמן נמשך הייעוץ?,"הייעוץ כולל כ־6 שיחות עם יועץ לגמילה מעישון, הנפרסות על פני תק",גמילה מעישון בכללית: כל השירותים
1958,​איך פונים לרופא/ת המשפחה?,"• לזימון תור לרופא המשפחה בלי סיסמה• תוכלו גם לשוחח עם רופא המשפחה בביקור טלפוני או בווידיאופרטי הרשמה לסדנאות גמילה מעישון​מחוזרישוםשעות התקשרות למוקד​דן־פתח תקווה03-9766111 (שלוחה 3)​ראשון עד חמישי9:00 עד 15:30חיפה וגליל מערבי​לפרטים ולהרשמה:04-6294650 או 5545*או במייל:sadnaothaifa@clalit.org.ilשרון־שומרון​2700* שלוחה 4אילתניתן להירשם במרפאות שבהן מתקיימות הסדנאות או במייל:anatke@clalit.org.ilמרכז​2700* שלוחה 4 או במוקד הסדנאות של מחוז מרכז, טלפון 03-9687501ניתן להירשם גם במרפאות שבהן מתקיימות הסדנאות.ירושלים​2700* שלוחה 4ניתן להירשם גם במרפאות שבהן מתקיימות הסדנאות.דרום​2700* שלוחה 4ניתן להירשם גם במרפאות.תל אביב־יפו​רישום במרפאותצפון​2700* שלוחה 4* המידע המופיע במדריך הוא לידיעה כללית בלבד. יש לעיין בתנאי הש",גמילה מעישון בכללית: כל השירותים
